year,level_1,level_2,value
2014,Total Persons Arrested For Snatch Theft,Above 21 Years Old,39
2014,Total Persons Arrested For Snatch Theft,21 Years Old And Below,29
2014,Total Persons Arrested For Snatch Theft,Youths (7 To 19 Years Old),24
2014,Male Arrested For Snatch Theft,Above 21 Years Old,38
2014,Male Arrested For Snatch Theft,21 Years Old And Below,26
2014,Male Arrested For Snatch Theft,Youths (7 To 19 Years Old),21
2014,Female Arrested For Snatch Theft,Above 21 Years Old,1
2014,Female Arrested For Snatch Theft,21 Years Old And Below,3
2014,Female Arrested For Snatch Theft,Youths (7 To 19 Years Old),3
2014,Total Persons Arrested For Rioting,Above 21 Years Old,321
2014,Total Persons Arrested For Rioting,21 Years Old And Below,376
2014,Total Persons Arrested For Rioting,Youths (7 To 19 Years Old),322
2014,Male Arrested For Rioting,Above 21 Years Old,308
2014,Male Arrested For Rioting,21 Years Old And Below,337
2014,Male Arrested For Rioting,Youths (7 To 19 Years Old),286
2014,Female Arrested For Rioting,Above 21 Years Old,13
2014,Female Arrested For Rioting,21 Years Old And Below,39
2014,Female Arrested For Rioting,Youths (7 To 19 Years Old),36
2014,Total Persons Arrested For Serious Hurt,Above 21 Years Old,422
2014,Total Persons Arrested For Serious Hurt,21 Years Old And Below,57
2014,Total Persons Arrested For Serious Hurt,Youths (7 To 19 Years Old),35
2014,Male Arrested For Serious Hurt,Above 21 Years Old,390
2014,Male Arrested For Serious Hurt,21 Years Old And Below,56
2014,Male Arrested For Serious Hurt,Youths (7 To 19 Years Old),34
2014,Female Arrested For Serious Hurt,Above 21 Years Old,32
2014,Female Arrested For Serious Hurt,21 Years Old And Below,1
2014,Female Arrested For Serious Hurt,Youths (7 To 19 Years Old),1
2014,Total Persons Arrested For Cheating & Related,Above 21 Years Old,1493
2014,Total Persons Arrested For Cheating & Related,21 Years Old And Below,208
2014,Total Persons Arrested For Cheating & Related,Youths (7 To 19 Years Old),128
2014,Male Arrested For Cheating & Related,Above 21 Years Old,1099
2014,Male Arrested For Cheating & Related,21 Years Old And Below,122
2014,Male Arrested For Cheating & Related,Youths (7 To 19 Years Old),81
2014,Female Arrested For Cheating & Related,Above 21 Years Old,394
2014,Female Arrested For Cheating & Related,21 Years Old And Below,86
2014,Female Arrested For Cheating & Related,Youths (7 To 19 Years Old),47
2015,Total Persons Arrested For Murder,Above 21 Years Old,16
2015,Total Persons Arrested For Murder,21 Years Old And Below,2
2015,Total Persons Arrested For Murder,Youths (7 To 19 Years Old),0
2015,Male Arrested For Murder,Above 21 Years Old,12
2015,Male Arrested For Murder,21 Years Old And Below,2
2015,Male Arrested For Murder,Youths (7 To 19 Years Old),0
2015,Female Arrested For Murder,Above 21 Years Old,4
2015,Female Arrested For Murder,21 Years Old And Below,0
2015,Female Arrested For Murder,Youths (7 To 19 Years Old),0
2015,Total Persons Arrested For Rape,Above 21 Years Old,47
2015,Total Persons Arrested For Rape,21 Years Old And Below,28
2015,Total Persons Arrested For Rape,Youths (7 To 19 Years Old),23
2015,Male Arrested For Rape,Above 21 Years Old,47
2015,Male Arrested For Rape,21 Years Old And Below,28
2015,Male Arrested For Rape,Youths (7 To 19 Years Old),23
2015,Female Arrested For Rape,Above 21 Years Old,0
2015,Female Arrested For Rape,21 Years Old And Below,0
2015,Female Arrested For Rape,Youths (7 To 19 Years Old),0
2015,Total Persons Arrested For Outrage Of Modesty,Above 21 Years Old,727
2015,Total Persons Arrested For Outrage Of Modesty,21 Years Old And Below,134
2015,Total Persons Arrested For Outrage Of Modesty,Youths (7 To 19 Years Old),114
2015,Male Arrested For Outrage Of Modesty,Above 21 Years Old,722
2015,Male Arrested For Outrage Of Modesty,21 Years Old And Below,134
2015,Male Arrested For Outrage Of Modesty,Youths (7 To 19 Years Old),114
2015,Female Arrested For Outrage Of Modesty,Above 21 Years Old,5
2015,Female Arrested For Outrage Of Modesty,21 Years Old And Below,0
2015,Female Arrested For Outrage Of Modesty,Youths (7 To 19 Years Old),0
2015,Total Persons Arrested For Robbery,Above 21 Years Old,88
2015,Total Persons Arrested For Robbery,21 Years Old And Below,38
2015,Total Persons Arrested For Robbery,Youths (7 To 19 Years Old),28
2015,Male Arrested For Robbery,Above 21 Years Old,84
2015,Male Arrested For Robbery,21 Years Old And Below,33
